식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무,정제 리뷰,토큰,감성단어,감성점수,감성라벨
페르시안궁전,JNNing,81,2026.03.29,1번째 방문,영수증,유명 해서 와 봤는데 너무 맛있고 색다른 메뉴가 있어서 좋았어요 두 명세트 너무 너무 맛있고 닭튀김 정도도 아주 좋았어요. 버터난 추가도 존맛탱😆,81,True,유명 해서 와 봤는데 너무 맛있고 색다른 메뉴가 있어서 좋았어요 두 명세트 너무 너무 맛있고 닭튀김 정도도 아주 좋았어요 버터난 추가도 존맛탱,"유명, 맛있, 색다르, 메뉴, 세트, 맛있, 튀김, 정도, 버터, 추가","맛있, 맛있",4,긍정
페르시안궁전,gue****,2,2026.03.29,1번째 방문,영수증,너무 맛있어요! 치즈난이랑 팔락파니르랑 먹으면 고소함이 두 배! 치킨 마크니 칼칼하게 맵싹해서 무한으로 들어갑니다 가게 인테리어도 예쁘고 자리도 널찍해서 최고예요!,91,True,너무 맛있어요 치즈난이랑 팔락파니르랑 먹으면 고소함이 두 배 치킨 마크니 칼칼하게 맵싹해서 무한으로 들어갑니다 가게 인테리어도 예쁘고 자리도 널찍해서 최고예요,"맛있, 치즈, 팔락파니르, 고소하, 치킨, 마크니, 칼칼하, 무한, 들어가, 가게, 인테리어, 예쁘, 자리, 최고","맛있, 최고",5,긍정
페르시안궁전,lalallie,47,2026.03.29,1번째 방문,영수증,초2 아이도 잘먹네요 보통맛! 맛있어용,21,True,초2 아이도 잘먹네요 보통맛 맛있어용,"아이, 맛있",맛있,2,긍정
페르시안궁전,물구름20,29,2026.03.29,1번째 방문,영수증,통닭과 카레의 조화가 굳입니다! 중독적인 맛이에요,27,True,통닭과 카레의 조화가 굳입니다 중독적인 맛이에요,"통닭, 카레, 조화, 중독",,0,중립
페르시안궁전,우리집오징어,19,2026.03.29,1번째 방문,영수증,"창덕궁 구경하고 방문한 식당인데, 너무너무 맛있어요 !! 가게 외관부터 완전 맛집 느낌 잔뜩이예요 사장님도 친절하시고 다음엔 다른 메뉴 꼭 먹어볼게요 😋😋",86,True,창덕궁 구경하고 방문한 식당인데 너무너무 맛있어요 가게 외관부터 완전 맛집 느낌 잔뜩이예요 사장님도 친절하시고 다음엔 다른 메뉴 꼭 먹어볼게요,"창덕궁, 구경, 방문, 식당, 맛있, 가게, 외관, 맛집, 느낌, 사장, 친절, 다음, 메뉴","맛있, 친절",4,긍정
페르시안궁전,워더62,318,2026.03.29,1번째 방문,영수증,생맥 4천원에 양도 많고 맛도 좋아요 강추합니다👍 입구부터 이색적인 분위기가 인상적이었어요 커리와 케밥 모두 한국식과는 다른 매력이 있어서 색다른 식사를 즐기기 좋았습니다. 버터난도 맛있었어요,107,True,생맥 4천원에 양도 많고 맛도 좋아요 강추합니다 입구부터 이색적인 분위기가 인상적이었어요 커리와 케밥 모두 한국식과는 다른 매력이 있어서 색다른 식사를 즐기기 좋았습니다 버터난도 맛있었어요,"생맥, 입구, 이색, 분위기, 인상, 커리, 케밥, 한국식, 다르, 매력, 색다르, 식사, 즐기, 버터난, 맛있",맛있,2,긍정
페르시안궁전,킹다람쥐천,312,2026.03.29,1번째 방문,영수증,우와...!!!너무너무 맛있어요!! 양이 많을 것 같아서 2인이서 통닭정식 시켰는데 그냥 사랑세트 시키세요 맛있어서 그냥 훅훅 들어갑니다! 신라면 맵기로 시켰는데 딱 기분좋은 매콤함이에요~ 맵찔이도 즐기기 좋았습니다!,121,True,우와 너무너무 맛있어요 양이 많을 것 같아서 2인이서 통닭정식 시켰는데 그냥 사랑세트 시키세요 맛있어서 그냥 훅훅 들어갑니다 신라면 맵기로 시켰는데 딱 기분좋은 매콤함이에요 맵찔이도 즐기기 좋았습니다,"맛있, 통닭, 정식, 시키, 사랑세트, 시키, 맛있, 들어가, 신라면, 시키, 기분, 매콤하, 맵찔이, 즐기","맛있, 맛있",4,긍정
페르시안궁전,함유유,13,2026.03.29,1번째 방문,영수증,유튜브 보고 방문했습니다 골목에 이런곳이 찾아가는 재미가 있었고 사장님이 정말 친절하세요 👍👍 차랑 시그니처 메뉴인 통닭 난시켜서 먹었는데 너무 맛있었습니다,87,True,유튜브 보고 방문했습니다 골목에 이런곳이 찾아가는 재미가 있었고 사장님이 정말 친절하세요 차랑 시그니처 메뉴인 통닭 난시켜서 먹었는데 너무 맛있었습니다,"유튜브, 방문, 골목, 찾아가, 재미, 사장, 친절, 시그니처, 메뉴, 통닭, 시키, 맛있","친절, 맛있",4,긍정
페르시안궁전,DailyMarker,36,2026.03.28,1번째 방문,영수증,처음 와봤는데 정말 분위기가 궁전같아요~~! 맵기도 선택할 수 있어서 좋네요 ㅎㅎ 맛있어요!,51,True,처음 와봤는데 정말 분위기가 궁전같아요 맵기도 선택할 수 있어서 좋네요 맛있어요,"처음, 분위기, 궁전, 선택, 맛있",맛있,2,긍정
페르시안궁전,duddl0403,35,2026.03.28,1번째 방문,영수증,유튜브 더들리 보고 근처에 온 김에 방문했어요! 여기 통닭 한마리가 유명하길래 시켜서 먹어봤는데 맛있어요!! 인도가 아니라 이란식은 첨 먹어봤는데 재방문할 것 같아요 ㅎㅎ,95,True,유튜브 더들리 보고 근처에 온 김에 방문했어요 여기 통닭 한마리가 유명하길래 시켜서 먹어봤는데 맛있어요 인도가 아니라 이란식은 첨 먹어봤는데 재방문할 것 같아요,"유튜브, 들리, 근처, 방문, 여기, 통닭, 마리, 유명, 시키, 맛있, 인도, 아니, 이란, 방문",맛있,2,긍정
페르시안궁전,hyun051,44,2026.03.27,1번째 방문,영수증,카레 2.5단계 먹었어요! 생각보다 안매워서 다음에 윗 단계 도전해보려고요! 특이한 메뉴가 많아서 좋아요. 라이스케익은 꼭 시키세요!!! 맥주도 너무 시원하고 맛있어요!! 자주 오고싶어요,104,True,카레 2 5단계 먹었어요 생각보다 안매워서 다음에 윗 단계 도전해보려고요 특이한 메뉴가 많아서 좋아요 라이스케익은 꼭 시키세요 맥주도 너무 시원하고 맛있어요 자주 오고싶어요,"카레, 단계, 생각, 다음, 단계, 도전, 특이, 메뉴, 라이스, 케익, 시키, 맥주, 시원하, 맛있",맛있,2,긍정
페르시안궁전,ksy****,45,2026.03.27,1번째 방문,영수증,컨셉이 독특하고 가끔 생각나요 지난번에는 통닭을 인먹었는데 이번에 와서먹으니 맛있네욥,47,True,컨셉이 독특하고 가끔 생각나요 지난번에는 통닭을 인먹었는데 이번에 와서먹으니 맛있네욥,"컨셉, 독특, 생각나, 지난번, 통닭, 이번, 맛있",맛있,2,긍정
페르시안궁전,PB246,54,2026.03.26,1번째 방문,영수증,음식이 되게 맛있고 음악부터 인테리어까지 진짜 페르시안 궁전에 있는 줄 알아요 너무너무 예뻐요!!! 사장님 진짜 감각이 있다👍👍,71,True,음식이 되게 맛있고 음악부터 인테리어까지 진짜 페르시안 궁전에 있는 줄 알아요 너무너무 예뻐요 사장님 진짜 감각이 있다,"음식, 맛있, 음악, 인테리어, 페르시안, 궁전, 예쁘, 사장, 감각",맛있,2,긍정
페르시안궁전,ihj****,8,2026.03.26,1번째 방문,영수증,"대학로 올 때마다 들르는 찐 맛집입니다! 입구부터 이국적인 분위기가 압도적이고, 커리 향이 정말 깊어요. 매운맛 조절이 세밀하게 돼서 입맛에 딱 맞게 먹을 수 있는 게 큰 장점입니다. 난도 쫄깃하고 밥이랑 같이 먹으면 한 그릇 뚝딱이에요. 사장님도 친절하셔서 기분 좋게 식사하고 갑니다!",160,True,대학로 올 때마다 들르는 찐 맛집입니다 입구부터 이국적인 분위기가 압도적이고 커리 향이 정말 깊어요 매운맛 조절이 세밀하게 돼서 입맛에 딱 맞게 먹을 수 있는 게 큰 장점입니다 난도 쫄깃하고 밥이랑 같이 먹으면 한 그릇 뚝딱이에요 사장님도 친절하셔서 기분 좋게 식사하고 갑니다,"대학로, 들르, 맛집, 입구, 이국, 분위기, 압도, 커리, 조절, 입맛, 장점, 쫄깃하, 그릇, 사장, 친절, 기분, 식사",친절,2,긍정
페르시안궁전,주뱅88,92,2026.03.26,1번째 방문,영수증,혜화 맛집이라고 친구랑 먼길 걸어 왔어요ㅎㅎ 들어오자마다 맛집 느낌이 막 들어요~ 먹어보니 맛집 맞아용ㅋㅋ♡ 다음에 또 오고싶어요~,73,True,혜화 맛집이라고 친구랑 먼길 걸어 왔어요 들어오자마다 맛집 느낌이 막 들어요 먹어보니 맛집 맞아용 다음에 또 오고싶어요,"혜화, 맛집, 친구, 들어오, 맛집, 느낌, 다음",,0,중립
페르시안궁전,먕먕0525,10,2026.03.25,1번째 방문,영수증,"처음 와보는데 이국적인 분위기가 너무 좋네요~인기있는 통닭카레정식과 버터난,페르시안생맥주 주문해봤어요~냄새가 매우 좋네요~",68,True,처음 와보는데 이국적인 분위기가 너무 좋네요 인기있는 통닭카레정식과 버터난 페르시안생맥주 주문해봤어요 냄새가 매우 좋네요,"처음, 이국, 분위기, 인기, 통닭, 카레, 정식, 버터난, 페르시안, 맥주, 주문, 냄새",,0,중립
페르시안궁전,지시지,101,2026.03.25,2번째 방문,영수증,벌써 두 번째 방문이네요. 너무 맛있어서 친구도 데려왔어요. 밥도 맛있고 난도 맛있고 모든 메뉴가 다 맛있지만. 특히 시금치 카레와 라씨를 강추해요,82,True,벌써 두 번째 방문이네요 너무 맛있어서 친구도 데려왔어요 밥도 맛있고 난도 맛있고 모든 메뉴가 다 맛있지만 특히 시금치 카레와 라씨를 강추해요,"방문, 맛있, 친구, 데려오, 맛있, 맛있, 메뉴, 맛있, 시금치, 카레","맛있, 맛있, 맛있, 맛있",8,긍정
페르시안궁전,폼폼여행,1057,2026.03.25,1번째 방문,영수증,"두명이서 버터치킨커리 &amp; 양고기커리에 각각 마늘난, 치즈난을 주문해서 먹었어요. 현지 맛과 분위기를 느낄 수 있는 명륜동 맛집✨",75,True,두명이서 버터치킨커리 양고기커리에 각각 마늘난 치즈난을 주문해서 먹었어요 현지 맛과 분위기를 느낄 수 있는 명륜동 맛집,"버터치킨커리, 양고기커리, 마늘난, 치즈, 주문, 현지, 분위기, 느끼, 명륜동, 맛집",느끼,-1,부정
페르시안궁전,해일주의보,11,2026.03.25,1번째 방문,영수증,벌써 세번째 방문입니다 너무 맛있고 인테리어도 이국적이어서 올 때마다 특별한 경험을 하고 가는 느낌입니다. 혜화 근처 올 일 있으면 한번 들러보세용🤤,83,True,벌써 세번째 방문입니다 너무 맛있고 인테리어도 이국적이어서 올 때마다 특별한 경험을 하고 가는 느낌입니다 혜화 근처 올 일 있으면 한번 들러보세용,"방문, 맛있, 인테리어, 이국, 특별, 경험, 느낌, 혜화, 근처, 들르",맛있,2,긍정
페르시안궁전,김효진53,7,2026.03.23,1번째 방문,영수증,"오뚜기3분카레에 적응된 한국인도 부담없이 먹을수있는 카레맛집, 언밸랜스한 디자인의 궁전 속에서 이란 특유의 카레가 로컬화된 상태를 즐길수있는곳. 닭이 맛있어요 2인 카페 추천.",98,True,오뚜기3분카레에 적응된 한국인도 부담없이 먹을수있는 카레맛집 언밸랜스한 디자인의 궁전 속에서 이란 특유의 카레가 로컬화된 상태를 즐길수있는곳 닭이 맛있어요 2인 카페 추천,"오뚜기, 카레, 적응, 한국인, 부담, 카레, 맛집, 언밸랜스, 디자인, 궁전, 이란, 특유, 카레, 로컬, 상태, 즐기, 맛있, 카페, 추천","맛있, 추천",4,긍정
페르시안궁전,밤보링48,31,2026.03.23,1번째 방문,영수증,"어릴때부터 다니던 정통 카레 맛집이에요! 치킨통닭카레랑 누룽지 같이 먹으면 정말 맛있습니다! 양고기카레도 냄새 안나고 맛있네요, 성대맛집으로 완전 강추❤️❤️❤️",90,True,어릴때부터 다니던 정통 카레 맛집이에요 치킨통닭카레랑 누룽지 같이 먹으면 정말 맛있습니다 양고기카레도 냄새 안나고 맛있네요 성대맛집으로 완전 강추,"어리, 다니, 정통, 카레, 맛집, 치킨, 통닭, 카레, 누룽지, 맛있, 양고기, 카레, 냄새, 맛있, 성대, 맛집","맛있, 맛있",4,긍정
페르시안궁전,아버5722,15,2026.03.23,1번째 방문,영수증,인도 카레 처음 먹어보는데 입맛에 잘 맞네요! 앞으로도 자주 올게요 ㅎㅎ 맛있게 잘 먹었습니다~~,54,True,인도 카레 처음 먹어보는데 입맛에 잘 맞네요 앞으로도 자주 올게요 맛있게 잘 먹었습니다,"인도, 카레, 처음, 입맛, 맛있",맛있,2,긍정
페르시안궁전,ih****,23,2026.03.22,1번째 방문,영수증,장점이 너무 많아서 우선순위를 어찌해야할지..ㅎㅎ 일단 인테리어가 튀르키예에 여행온듯한 기분을 낼 수 있습니다~ 커리도 맛있고 화덕에 구운 누룽지밥과 난도 은은한 불냄새가 배어 고소하고 맛있어요. 특히 페르시안 생맥!! 산뜻한 맛으로 커리와 아주 잘 어울립니다~,146,True,장점이 너무 많아서 우선순위를 어찌해야할지 일단 인테리어가 튀르키예에 여행온듯한 기분을 낼 수 있습니다 커리도 맛있고 화덕에 구운 누룽지밥과 난도 은은한 불냄새가 배어 고소하고 맛있어요 특히 페르시안 생맥 산뜻한 맛으로 커리와 아주 잘 어울립니다,"장점, 순위, 인테리어, 튀르키예, 여행, 기분, 커리, 맛있, 화덕, 누룽지, 냄새, 맛있, 페르시안, 생맥, 커리, 어울리","맛있, 맛있",4,긍정
페르시안궁전,jay****,185,2026.03.22,1번째 방문,영수증,조카양 생일 모임하기 위해 조카 최애 식당에 왔어요 처음 와봤는데 분위기 넘 멋지고 음식들도 다 바로 만들어 나오고 다 맛있어요. 손님들도 무척 많은데 회전도 빠르고 완전 반하고 되네요. 자주 오고 싶어지는곳입니다,119,True,조카양 생일 모임하기 위해 조카 최애 식당에 왔어요 처음 와봤는데 분위기 넘 멋지고 음식들도 다 바로 만들어 나오고 다 맛있어요 손님들도 무척 많은데 회전도 빠르고 완전 반하고 되네요 자주 오고 싶어지는곳입니다,"조카, 생일, 모임, 위하, 조카, 식당, 처음, 분위기, 멋지, 음식, 만들, 나오, 맛있, 회전, 빠르, 완전","맛있, 빠르",3,긍정
페르시안궁전,somrrii98,33,2026.03.22,1번째 방문,영수증,친구한테 추천받아서 왔어요!! 현지느낌 진짜 낭낭하고 ㅋㅋ 사장님 유쾌하신 것 같아용 카레는 한국인 입맛에도 잘 맞고 밥이 신기한게 누룽지?!느낌이랑 더 맛있는 것 같아용 호불호 없을 맛!,105,True,친구한테 추천받아서 왔어요 현지느낌 진짜 낭낭하고 사장님 유쾌하신 것 같아용 카레는 한국인 입맛에도 잘 맞고 밥이 신기한게 누룽지 느낌이랑 더 맛있는 것 같아용 호불호 없을 맛,"친구, 추천, 현지, 느낌, 사장, 카레, 한국인, 입맛, 누룽지, 느낌, 맛있, 호불호","추천, 맛있",4,긍정
페르시안궁전,히동이동,40,2026.03.22,1번째 방문,영수증,친구가 좋아하는 유튜버가 300번 이상 방문했다고 해서 봄나들이 겸 왔어요!! 맛있게 잘먹었슴니다❣️,56,True,친구가 좋아하는 유튜버가 300번 이상 방문했다고 해서 봄나들이 겸 왔어요 맛있게 잘먹었슴니다,"친구, 좋아하, 유튜버, 이상, 방문, 나들이, 맛있","좋, 맛있",4,긍정
페르시안궁전,205671,27,2026.03.21,1번째 방문,영수증,맛있어요!! 1단계로 하니 살짝 매콤한 돈까스소스맛이에요ㅎㅎ 웨이팅도 거의 안했어요!!,48,True,맛있어요 1단계로 하니 살짝 매콤한 돈까스소스맛이에요 웨이팅도 거의 안했어요,"맛있, 단계, 매콤하, 돈까스, 소스, 웨이팅",맛있,2,긍정
페르시안궁전,Toss97,55,2026.03.21,1번째 방문,영수증,양이많고 너무 맛있어요!! 재방문 할래요ㅎㅎㅎ,25,True,양이많고 너무 맛있어요 재방문 할래요,"맛있, 방문",맛있,2,긍정
페르시안궁전,cor****,24,2026.03.21,1번째 방문,영수증,맛있어용 주변에서 왜 가보라고하는지 알겠습니다😃,26,True,맛있어용 주변에서 왜 가보라고하는지 알겠습니다,"맛있, 주변",맛있,2,긍정
페르시안궁전,gan****,37,2026.03.21,1번째 방문,영수증,맛있어요 탄두리치킨 처음인데 불맛나고 토마토도 맛있아요 전 사실 사프란 아이스크림 먹으려고와요,52,True,맛있어요 탄두리치킨 처음인데 불맛나고 토마토도 맛있아요 전 사실 사프란 아이스크림 먹으려고와요,"맛있, 탄두리치킨, 처음, 토마토, 맛있, 사프란, 아이스크림","맛있, 맛있",4,긍정
페르시안궁전,pro****,3,2026.03.21,1번째 방문,영수증,유튜브로 보고 궁금해서 왔어요! 통닭 정식이랑 난을 시켰고 맛은 생각했던 것보다 훨씬 맛있고 라이스도 빠작빠작 씹는 맛이 있었습니다!! 난도 쫄깃해서 좋았어용!! 담에 또 올만한 가치가 있습니다👍👍,110,True,유튜브로 보고 궁금해서 왔어요 통닭 정식이랑 난을 시켰고 맛은 생각했던 것보다 훨씬 맛있고 라이스도 빠작빠작 씹는 맛이 있었습니다 난도 쫄깃해서 좋았어용 담에 또 올만한 가치가 있습니다,"유튜브, 통닭, 정식, 시키, 생각, 맛있, 라이스, 빠작빠작, 가치",맛있,2,긍정
페르시안궁전,미인정85,17,2026.03.21,1번째 방문,영수증,메뉴 두개 시켰는데 둘 다 너~~무 맛있어요♥️ 난도 바삭하니 딱 좋고 분위기도 현지 느낌 물씬나서 데이트하기도 좋을거같아요! 아이랑 왔는데 맵기조절도 돼서 먹기 좋아요🤩 다음에 또 올거에요 꼭,108,True,메뉴 두개 시켰는데 둘 다 너 무 맛있어요 난도 바삭하니 딱 좋고 분위기도 현지 느낌 물씬나서 데이트하기도 좋을거같아요 아이랑 왔는데 맵기조절도 돼서 먹기 좋아요 다음에 또 올거에요 꼭,"메뉴, 시키, 맛있, 분위기, 현지, 느낌, 데이트, 아이, 조절, 다음",맛있,2,긍정
페르시안궁전,지니8922,34,2026.03.21,1번째 방문,영수증,맛집이라 기대됩니다!! 평소에 먹어보지 못한거라 맛있어요.,32,True,맛집이라 기대됩니다 평소에 먹어보지 못한거라 맛있어요,"맛집, 기대, 평소, 못하, 맛있",맛있,2,긍정
페르시안궁전,House Keeper,55,2026.03.20,1번째 방문,영수증,유명하다고 해서 성대오면 꼭 와보고 싶었는데 넘 맛있어요! 난도 크고 카레도 찐입니다. 오랫동안 사랑 받은 이유가 있네요 🍗,69,True,유명하다고 해서 성대오면 꼭 와보고 싶었는데 넘 맛있어요 난도 크고 카레도 찐입니다 오랫동안 사랑 받은 이유가 있네요,"유명, 성대, 맛있, 카레, 오랫동안, 사랑, 이유",맛있,2,긍정
페르시안궁전,bamyee,97,2026.03.20,1번째 방문,영수증,진짜 인도의 향기를 느낄 수 있어요ㅎㅎㅎ!! 유명하다고 해서 찾아왔는데 정말 잘 왔습니당 다음엔 다른 커리에 도전해 보고 싶어용! 맵기 조절할 수 있어서 좋아요!,90,True,진짜 인도의 향기를 느낄 수 있어요 유명하다고 해서 찾아왔는데 정말 잘 왔습니당 다음엔 다른 커리에 도전해 보고 싶어용 맵기 조절할 수 있어서 좋아요,"인도, 향기, 느끼, 유명, 찾아오, 다음, 커리, 도전, 조절",느끼,-1,부정
페르시안궁전,수리수리마수리3198,24,2026.03.20,1번째 방문,영수증,분위기도 맛도 이국적이어서 여행하는 기분이에요~ 이국적이지만 한국인 입맛에 잘 맞아요,47,True,분위기도 맛도 이국적이어서 여행하는 기분이에요 이국적이지만 한국인 입맛에 잘 맞아요,"분위기, 이국, 여행, 기분, 이국, 한국인, 입맛",,0,중립
페르시안궁전,하늬55,52,2026.03.20,2번째 방문,영수증,정말 맛있어요 최고입니다 부모님오시고왔습니다,24,True,정말 맛있어요 최고입니다 부모님오시고왔습니다,"맛있, 최고, 부모","맛있, 최고",5,긍정
페르시안궁전,Gonee95,44,2026.03.19,1번째 방문,영수증,유튜버 영상보고 왔는데 진짜 맛있어요!!! 또올게요,28,True,유튜버 영상보고 왔는데 진짜 맛있어요 또올게요,"유튜버, 영상, 맛있",맛있,2,긍정
페르시안궁전,Lyn7997,62,2026.03.19,1번째 방문,영수증,"처음 먹어본 인도 커리에요,, 전혀 부담스럽지 않고 맛있어요 인도에 온 것 같은 인테리어도 정말 멋져여 또 방문할게욥!!",67,True,처음 먹어본 인도 커리에요 전혀 부담스럽지 않고 맛있어요 인도에 온 것 같은 인테리어도 정말 멋져여 또 방문할게욥,"처음, 인도, 커리, 부담, 맛있, 인도, 인테리어, 멋지, 방문",맛있,2,긍정
페르시안궁전,tozz21,27,2026.03.18,1번째 방문,영수증,향신료 잘 못먹어서 걱정했는데 엄청 맛있네요 한국인패치돼서 카레 약간 매운맛 정도입니다 탄두리치킨이 좀 더 맛있네요,64,True,향신료 잘 못먹어서 걱정했는데 엄청 맛있네요 한국인패치돼서 카레 약간 매운맛 정도입니다 탄두리치킨이 좀 더 맛있네요,"향신료, 걱정, 맛있, 한국인, 패치, 카레, 정도, 탄두리치킨, 맛있","맛있, 맛있",4,긍정
페르시안궁전,유예진29,36,2026.03.18,1번째 방문,영수증,닭다리가 튼실하구 너무 맛있어요!! 적당히 매콤하고 좋아요 ㅎㅎ 밖에서 카레 잘 안 사 먹었는데 여기는 자주 올 것 같아요 성대 바로 앞이라 접근성도 좋아용 강추합니다,93,True,닭다리가 튼실하구 너무 맛있어요 적당히 매콤하고 좋아요 밖에서 카레 잘 안 사 먹었는데 여기는 자주 올 것 같아요 성대 바로 앞이라 접근성도 좋아용 강추합니다,"다리, 맛있, 매콤하, 카레, 여기, 성대, 접근",맛있,2,긍정
페르시안궁전,짱규이,27,2026.03.18,2번째 방문,영수증,어딜 먹어도 결국 페르시안 궁전이 제일 맛있어요 가끔 생각나서 먹으러 옵니당 웨이팅은 있어도 금방 빠지는 편이고 늘 친절하세요~,71,True,어딜 먹어도 결국 페르시안 궁전이 제일 맛있어요 가끔 생각나서 먹으러 옵니당 웨이팅은 있어도 금방 빠지는 편이고 늘 친절하세요,"어디, 페르시안, 궁전, 맛있, 생각, 웨이팅, 빠지, 친절","맛있, 친절",4,긍정
페르시안궁전,won****,24,2026.03.17,1번째 방문,영수증,좋아하는 유튜버 맛집이라 와봤습니다!!! 음식도 맛있고 분위기도 좋아용 ㅎㅎ,42,True,좋아하는 유튜버 맛집이라 와봤습니다 음식도 맛있고 분위기도 좋아용,"좋아하, 유튜버, 맛집, 음식, 맛있, 분위기","좋, 맛있",4,긍정
페르시안궁전,SSS19,26,2026.03.16,1번째 방문,영수증,너무 맛있어요 자주 올게요!,15,True,너무 맛있어요 자주 올게요,맛있,맛있,2,긍정
페르시안궁전,갱6343,24,2026.03.16,1번째 방문,영수증,"유명했던 닭한마리 대신 순살로 되어있는 양고기카레+닭고기 카레를 먹었는데, 둘 다 맛있었습니다. 뼈가 붙어있지않아 먹기에 편했고, 밥이랑도 잘 어울렸어요 혹시 근처에 지나갈 일 있으시면 잊지말고 밥 드시고 가세요",118,True,유명했던 닭한마리 대신 순살로 되어있는 양고기카레 닭고기 카레를 먹었는데 둘 다 맛있었습니다 뼈가 붙어있지않아 먹기에 편했고 밥이랑도 잘 어울렸어요 혹시 근처에 지나갈 일 있으시면 잊지말고 밥 드시고 가세요,"유명, 마리, 대신, 순살, 양고기, 카레, 닭고기, 카레, 맛있, 편하, 어울리, 근처, 지나가, 드시",맛있,2,긍정
페르시안궁전,오동441,13,2026.03.16,1번째 방문,영수증,첫번째 방문때는 너무 맛있어서 리뷰쓸 생각도 못해서 두번째 방문에 리뷰를 쓰게 되네요. 워낙 맛집으로 유명하기도 하고 실제로 그 명성에 맞는 맛집인거 같습니다. 음식들도 퀄리티에 비해 가격이 부담스럽지 않아서 자주 오고 싶어요. 실제로 최근 일주일동안 여기 오려고 혜화를 두번이나 왔네요,160,True,첫번째 방문때는 너무 맛있어서 리뷰쓸 생각도 못해서 두번째 방문에 리뷰를 쓰게 되네요 워낙 맛집으로 유명하기도 하고 실제로 그 명성에 맞는 맛집인거 같습니다 음식들도 퀄리티에 비해 가격이 부담스럽지 않아서 자주 오고 싶어요 실제로 최근 일주일동안 여기 오려고 혜화를 두번이나 왔네요,"방문, 맛있, 리뷰, 생각, 방문, 리뷰, 맛집, 유명, 명성, 음식, 퀄리티, 가격, 부담, 최근, 일주일, 동안, 여기, 혜화",맛있,2,긍정
페르시안궁전,Jay45,17,2026.03.15,1번째 방문,영수증,분위기 정말 독특하고 넘 맛있어요!!!!! 짱짱 커리👍🏻👍🏻,33,True,분위기 정말 독특하고 넘 맛있어요 짱짱 커리,"분위기, 독특, 맛있, 커리",맛있,2,긍정
페르시안궁전,Leseye,23,2026.03.15,1번째 방문,영수증,주말에 10분 정도 웨이팅 하고 들어왔어요~ 내부 외부 음식 모두 여행 온 것만 같아요 이런 음식점이 있다는 게 감사할 따름입니다~ 저희는 쟈프란탄에 버터치킨 시켜서 먹었습니다~ 잘 먹고 갑니다,108,True,주말에 10분 정도 웨이팅 하고 들어왔어요 내부 외부 음식 모두 여행 온 것만 같아요 이런 음식점이 있다는 게 감사할 따름입니다 저희는 쟈프란탄에 버터치킨 시켜서 먹었습니다 잘 먹고 갑니다,"주말, 정도, 웨이팅, 들어오, 내부, 외부, 음식, 여행, 음식점, 감사, 따름, 저희, 쟈프란탄, 버터치킨, 시키",,0,중립
페르시안궁전,momoringring,44,2026.03.15,1번째 방문,영수증,시금치 커리 맛잇어요!! 매장 분위기도 완전 이국적이에요 ~~ 추천합니닷,40,True,시금치 커리 맛잇어요 매장 분위기도 완전 이국적이에요 추천합니닷,"시금치, 커리, 매장, 분위기, 이국, 추천",추천,2,긍정
페르시안궁전,메이1013,221,2026.03.15,5번째 방문,영수증,여러가지 맛보고 싶어서 단체로 5번째 방문 역시 맛집이예요^^,34,True,여러가지 맛보고 싶어서 단체로 5번째 방문 역시 맛집이예요,"가지, 맛보, 단체, 방문, 맛집",,0,중립
